,NU_INSCRICAO,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO
144,f4312979d3a9245a11686e74552a2f235425c8ed,15,F,0,2,3,0,1,,557.8,603.3,574.6,590.1,120,120,120,120,120,600
145,b4a0df58cade1c3467b12052df84b1f64d6aa605,18,F,0,3,2,0,2,1,414.4,450.5,379.6,443.7,120,120,80,80,40,440
146,8144886bbb1baf3730b177ac63e36f654716e8a4,21,F,0,3,1,4,1,,,,,,,,,,,
147,a5c056dd012783bc35e17f7687aaaec2c56f2dd0,18,F,0,3,2,0,2,3,,,,,,,,,,
148,e3f149e277ebf61924972fe87fa4ee816950f493,21,M,0,3,1,2,1,,431.9,591.1,493.4,372.2,120,120,100,120,80,540
149,e9ee228cf82265126b0a218a6ad0d4515f9e3576,16,F,0,3,3,0,1,,404.8,346.2,,,,,,,,
150,a5f4a62d6ed268da4ae565effbde9e65278253cb,19,F,0,1,1,2,1,,653.2,703.6,623.8,664.6,140,120,120,180,180,740
151,66bdd2f12b50c2fcf0f3813350b0fc0040b1af9e,23,M,0,3,1,4,1,,,,,,,,,,,
152,d0573631ad8f7665d389f30949fa604a1c17185c,22,M,0,3,1,2,1,,468.5,351,373,490.2,120,80,80,120,40,440
153,acd871097b033a83ee458aaee2c66d5bc395027e,21,F,0,3,1,4,1,,436.6,511.9,569,420.6,120,100,100,100,40,460
154,47711503c2d6694a7e37ad8ac91f7d3df30d7dec,28,M,0,1,1,10,1,,,,,,,,,,,
155,056f5b129ee281a862945f4d05e57d909c84de44,21,F,0,3,1,4,1,,512.3,486.9,516.5,416.8,120,120,120,120,80,560
156,b0d94e0a86684b316989083d8e581d064413fe59,16,F,0,2,2,0,2,1,512,635,578.5,501,120,120,80,100,100,520
157,893b891eb70050641ff46e20d9cd7412a74154cd,38,F,0,3,1,10,1,,,,,,,,,,,
158,8bfbb04267b3a22be2aa4c532561ef0ade2c63f8,17,M,0,1,2,0,3,1,565.2,583.5,570.7,676,160,80,100,80,80,500
159,ff42818829a5fdb786e58b4a8799183c97cd005e,22,F,,3,1,1,1,,416.8,550,488.8,456.8,140,120,120,120,60,560
160,0d82ebb403cc907b042ba68583db34cf91381eac,19,M,0,2,3,0,1,,438.1,425.9,505.5,423.9,80,80,40,40,20,260
161,a90dcc63e4edaf1a6bfefc1e75989fab0440d3ce,17,F,0,1,2,0,2,1,401.8,486.3,520.1,333.8,120,120,120,120,80,560
162,85e31040cf18996a726aee2d2a01578d6ef5f1cd,24,M,0,3,1,7,1,,,,,,,,,,,
163,6d1b4e3811f2f5a30453c844ae4bdcb65deb8e4e,18,F,0,1,2,0,3,1,411,517.4,516.2,451.2,120,120,100,100,80,520
164,346b0c0a61fea016a8126f0e5e8939eb3232ba1e,19,F,0,3,2,0,2,1,445.7,410.3,372,446.1,100,100,80,120,100,500
165,87d0b611ce5547590bcae08369197339ad32afc5,16,F,0,1,2,0,2,1,535.4,588.2,575.1,366.9,80,80,120,100,100,480
166,7d7b7990763af03f52a68e30ca6f11b8d7c2ce05,18,F,0,2,1,1,1,,440.8,520.9,414.6,502.8,160,120,120,160,120,680
167,a4597468a677a40f5f065610aa28fcc2c3838ebd,18,M,0,3,2,0,2,1,385.1,464.8,450.3,488.5,120,100,100,100,40,460
168,125c45ac026f83535195ece61d2fcbd7d7aaaae0,16,F,0,2,2,0,2,1,394,481.4,490.2,556.7,120,100,100,120,40,480
169,369caf36ae09bab2f650ee73f4e2f5ca4b51500a,18,F,,3,1,1,1,,,,,,,,,,,
170,59dbe08f54be241885399789426c1fbcb6ed0867,18,M,0,3,3,0,1,,463.9,531.2,423.4,494.4,80,80,80,80,80,400
171,6e8a48f942f8c2cc1f05482c16d28a31d987c5a0,30,F,1,3,1,1,1,,451.5,478.7,527.2,454.3,100,100,100,100,20,420
172,dc9f3909aa84b1271eb1dc6dec088b9bfbf75587,37,F,0,3,1,10,1,,470.4,478.9,539.3,394.2,140,120,160,160,120,700
173,5fad4c8c56dfdf6e7800a3ba5eae6de2bd459b67,17,F,0,1,2,0,2,1,428.6,622.1,495.4,509.6,120,120,120,120,100,580
174,58033f875506d9f62ff23032e495cb75a2daf257,43,F,0,3,2,0,2,3,,,,,,,,,,
175,eb10fc96135fd7cd1d7c876451a062bde07051ae,17,F,0,1,2,0,2,1,546.1,585.4,575.4,568.2,140,160,140,120,160,720
176,ce187976d244a123743fb09b950cf49b12b2b679,17,F,0,1,3,0,1,,532.4,532.3,497.4,415.2,140,120,120,120,120,620
177,e482d33b95a968e47e8a52f73def5b7a98ce7d9a,19,F,0,1,1,2,1,,,,,,,,,,,
178,f60f16f31f37449eb3b002aac4db0fbde2d2b33a,17,F,0,3,2,0,2,1,535.6,507.7,495.9,445.3,120,100,100,120,100,540
179,3470b3bb5604291e07897afb918534cd5d386364,16,M,0,3,3,0,1,,453.9,437,387,441.9,80,80,60,60,0,280
180,67b08e14867ede6e7fe33926ceb9161f7e0c66ae,18,M,0,2,2,0,2,1,466,552.1,544.3,538.3,80,120,80,100,100,480
181,9bb4a12e59f092a266e1af079746049299fdae88,18,M,0,3,1,1,1,,,,,,,,,,,
182,b6c3bebd9592aeb68454400d66770c1dc36b617f,29,F,1,3,1,10,1,,,,,,,,,,,
183,08818ae315fbb1a1c9c50a007d872cb72278463e,22,M,1,1,4,0,1,,553.4,553.2,542.7,548.8,120,80,80,120,40,440
184,a40af8a0f8734b5be92ba7f16dd72f3ddbc05c7b,18,F,0,3,2,0,2,1,425.4,486.6,522.9,465.3,120,120,120,120,40,520
185,44655faaf1acb01e9fc70ad6b77ad0239c5fef56,16,F,0,3,3,0,1,,412.7,492.6,454.8,367.1,100,100,120,100,60,480
186,95451722fb1b782909b3df3ffc703a88fb12b313,36,F,,3,1,10,1,,448.1,521.1,515.4,383.8,120,100,100,100,80,500
187,63dc1b437d96b6a146d210aa8f972b832410e224,22,F,0,1,1,5,1,,541.9,626,620.7,571.8,160,120,120,140,80,620
188,67496ec5a22717043ce613cce28c2d5b02be2ef7,19,M,0,3,1,2,1,,478.1,573.2,553.8,463.1,120,160,160,120,80,640
189,0b0b7a416cc00e5a031c9bdda7719527ce357d61,23,M,0,1,2,0,2,3,491.6,433.4,444.8,393.8,120,120,120,120,80,560
190,4071da9a69ce04ef14cdb5d0b9e840480c932f65,18,M,0,3,3,0,1,,462.8,531.5,350.6,487.4,80,120,120,100,80,500
191,fb77ea2ffa52dc5de58eec2ebc3918f490ee2504,17,F,0,1,2,0,2,1,557.6,608.8,603.2,602.4,140,140,160,140,180,760
192,6e08cac7305ff64156eeaa72b68942d09ff93082,22,F,1,3,1,3,1,,426.3,487,394.2,351,0,0,0,0,0,0
193,910791ec7430d6c0dc5d458a3ee45d039f4d8df5,18,M,0,1,2,0,2,1,394.3,445.2,395.5,391.2,80,120,120,100,80,500
194,6463d23951a4a7b6649ef55fb009620e28d40add,17,F,0,3,2,0,2,1,479.2,592,623.8,443.8,120,120,100,100,80,520
195,5359abb5e689d8cf4309fb4fa9a53eace6c3af7d,24,M,0,3,1,7,1,,,,,,,,,,,
196,39defe35bd14c3553f6328660944e33b0ed63bfb,22,M,0,3,1,4,1,,419.1,476,415.2,374.8,120,100,80,100,0,400
197,ba06b50e2e3ca0c04af62bd7f270f625d66bf99e,19,M,0,1,1,2,1,,,,,,,,,,,
198,49a2f83a9a5a13127f13f8a36e3670d522ea12e0,19,F,0,1,1,2,1,,619.3,637.4,571.5,700.9,160,200,180,160,140,840
199,c766dba145ea799e135e91fbfbd0d6bbbc9efb2f,21,M,0,1,2,0,2,1,405.7,550.7,540.2,500.7,100,80,80,80,40,380
200,b788a1168ae30ef2e7f47b81bd2e09ff2a4772a9,17,F,0,3,2,0,2,1,456.6,502.4,553.1,375.6,120,120,120,100,100,560
