,NU_INSCRICAO,NU_NOTA_MT
100,b45fb481022f31dd47c63c1c3e2ccc3b5915b67d,472.6474032799532
101,1a46d99716282410d1170f0f35069b34e34415d4,445.1738663161201
102,0467e022da4ef897f666bc76f31e1bc8976f7e92,485.44993419918706
103,993aca0d5eac6741117947c82a3647102096255e,475.2152559442057
104,94c96ade6ade21deb080bba6aad537fc4f195d47,489.71942522522727
105,36bb672077a46a3e4755cef90437a616d28bdf23,416.2936469865889
106,e406adf1d4712381dcd4d1c9d78fc9d7f14ff450,404.75309662043963
107,328ca19128d276eb4fbc309c54ec7f346c803d2f,699.4310254831016
108,27cdb62f0a2a5467efeb30aafbf246ed2320c532,393.8127671448888
110,f9ef2695eb0986666093945894b8f2fee351bf22,503.2311845342823
113,8a021391cdaac100dab56c59284bd50137a74129,550.4679276664617
115,b4ea8e8529711d52ed85b1a1f8ea0180bda442b8,517.3758017992908
117,720ef6c1d6cb4978762fb0edf4e55fd8303fe35a,467.5901315362066
119,b9f786712775e0d1d735398d710b01f404c985a3,395.7097987849782
120,564958997e204bda06fbe90afc4722805c78a855,577.8911085410231
121,36f38ea81d1305770cd5153f1e1667fe8a1eb47f,417.61735742385235
123,5a42c3f801e77d628649a6c34f3a4e5b80f232f7,485.1918550933141
124,8296743fdd105ce9183561cf5b359b0a3781465e,429.31573377614905
126,6602c7f15a1fdd082265b64976448c6809df792d,447.5980113301289
127,31ae66f0fe024acae4490915c348e487f2367574,530.0620000204033
128,81901aa980653106e64863d957387d24e2c00af3,415.8662798550069
129,28e10d1bd0b6effe0edd503446ebda948ad240ad,434.7045595798179
130,53a7ee52a87f80241e2ca13c923e06b72bf3a059,392.60260236583315
133,0e2c166db6aa7deccbe4896423a1d68f6d57b0f1,590.3062125828345
135,02681b5c893b94db204713cb4b20dde6fc3f2f95,546.3656890553972
136,6ce4c0e0784b3881b36b3d1c047ac6ad121681da,409.0918360854903
138,28c6829e69879bc1d34db1cd51b89562d3cc596b,517.7774848793293
139,ecb9f0d7a261c9f27865ea22f2e643701f721eb6,472.5688883807373
141,923538833160e8432636c88e8119378a43b3d766,464.8672852443668
142,aacb834258765a2959ee63c57d2be4923d11a696,462.87159272827455
143,c32e484025571dd94255a77f21de08ab8d2aaba8,480.75750641708663
144,d425deeec0a3c7006f14d732eff8933d5155067f,485.0061597033981
145,f7e7aa93db083d1f25b43cccf4ad2c03a7953cd3,474.06715737298043
146,716a178e9a6f7791b820da77879943ac9040a547,444.6378436927155
147,430212cd8767ef2bff8cda0f61729203fef7523e,424.2275810347703
148,e97d33221238e445688a0e984778d4ecac788be2,514.9279408504111
150,4bc5712bdb9067b1814e969e71d5cdad59bb38d4,508.0755842344521
151,0411742cbb54fe1b6927b25f0bb52b885828c828,440.6137994158621
152,780505a9d5fc3c6da53686c0cc8bd871f4db00bc,397.34909408321147
154,e4e7a38b58319ad0a5cde4848622b21783c907e9,489.6602598614603
155,9c5a0a82074c75cb072752d71da42b9c6c27b0a3,573.9407978852206
156,aec1b63c3f0c9554e533752d8fe138ca82101d4a,447.69803428642183
157,4cc0fd1efaa148872a1f9edc1b44efef48c91c2b,489.34537071541524
158,4b48d500ba4410546ce01f7f6d44bcbafa73994f,427.7074584305975
159,edf33c347c866d26872f540bcc1f6ae415f3294c,481.7824602223142
160,54f4e6037b9d1eb4a2a134306d37176787f1c1d3,520.4266139395712
161,3a265ea6ebdc4eb2520db912adf5592f03b3d634,386.63186029920564
164,e418fbb77e6ff4103205f3b7f6a66d53183d809b,461.888682726106
165,8ddbfe70cd41135cb6f125335a48d100789edbf7,387.4171195124348
167,1d3e406d0223d4cb0328850d689ba9fcadf62776,433.8067568561399
169,ecaf075653faf2dcdf946c0ce50629f5083347c0,423.36334607802036
170,7a2bba61a48894f9bd6fc981f77f2b627b0d8ae6,500.663514888185
172,5b7877d12550dd35d27a02b66a13f2a27bce11ca,424.570344654536
173,18f800ec03e33ebad5fb97aa8465dd3e5961337e,441.601339309406
176,b05356be088f726b5ba7e0b0a9aa1b5cf4157b2a,498.5963713817032
178,cc8794762ffa592758b5117d67e0d02e2e8b9c49,515.5009937289119
179,894d277c608610fa8c31db531f64582b9569b2e9,441.388141166676
180,b2e029961aa0f20071b74708e0d97e6f200ec582,453.3711860530897
181,12c7d85e168b09a0278df140a22bcb0052a59b0a,392.59858211272115
182,64c4892488a9c6281bdabf467a0b5a6382d248e6,480.35095347232544
184,ac112e94587e6e4249b7182329ee5a5040ae94ea,536.3064061616789
185,a58cf11e498228f9aaca92b0c49f955a6163fb59,441.46643922015556
186,e8c84701c041b7f3b39f3125a0449fa633589fbe,490.8418522678122
187,af8dd560d9ea4adcfd0d2b6b5f81f95fad9c3222,593.8942576498183
189,ac9cc7dbe0e70fb6717aa371a23aa75e6594ec02,434.9697744950005
190,e64ad901853230e396be49311ea98121c348fac6,478.82803253207294
191,8532af19be3729ea233c1f29e4c015820fc7fb3a,482.90591753372775
192,6de1d7f2ad49d20e5782f8cacf4f0b677ff2d316,463.0647482638734
193,26853fd075fe27954772c3070997635b94f32b83,415.2236127831068
194,3159f29994dadd5cba1f94c3f3b9ac69e24c1cc2,539.3374300828237
195,574ec310dee846f9ae8eb278480257d463f6fbcc,467.0747945826323
197,8a46e35787225c3e7adef2b998ad9c93a952106b,513.5599902026087
198,b62bf908b504e8c6898777a7f5b88afed358caea,434.0541375943491
199,10d22971ca4f53fc62d02905809ff1c37fbb68fc,585.7333049624905
200,0efd9ad5eb41ad08e1f1af9fbe59eb5845323860,437.49972322766945
202,8f2c4684ec70392c718c278b10b04ddfbd4ced1f,559.1680664117896
204,c03f2bcf9ef69bcfdf270b6ffc6110408f0ead41,459.57773017143063
206,d76614020539405f481c0f5ffb9e6f88a0bf21b7,433.04869583109013
210,92acabe95cd7dd1ae1dd63547cde3a4939cf7e2e,512.5470699288975
211,ddbf5769bc4a6fb2aa16e5a031d8eb7796d1c04c,465.00338075380944
212,176b027cd932b17fcb6f119cfcef338a175062b8,380.99079589932927
213,41474f2dda61d97f38ba79906d3dbcce223d1bd1,517.7022586762955
215,1c5a1514e6a5c44e5683ec01698a83ce474c2e4d,504.5532806275662
218,d4e97da32ccb6987ec074aa48c24ce949c05a78c,431.8575844728259
220,95c1d266a2524560761df98b376c17604733a6ad,540.1291021453079
221,c11c4303d2632cde64105a35554ecb77a8564260,476.4404436931011
222,30ddf113f77266181ef7bf57ea7d4ca3f505fec7,465.57036120916877
223,6d94e9582cfdb5d239f21b3ba08b619d81c5e8aa,543.0848842891007
224,3671441f51dc0c3d052e87d6b8beba46bb70bfeb,434.12687551605063
225,580c34923cbde328e0aef1641dd02033fc862c04,459.3214735129833
227,29d8bf198da9caa59047268faca60207da24d1b7,546.2939925800204
228,1b3f80a1cd9fff0408e96169fcaf006936b34fed,455.5011753829371
229,b5932043b62e0c58e16e2cc2c9d5489390e5c895,490.3786323448468
230,99092cc60948943c59d68d62ed81a75a03059113,470.2504126011922
232,dd69fca6f17420dc911016a79e70583ca7ea330d,441.83994579373194
233,d387995af060965fb9d18973f3dbf4904f071066,416.48765055453254
234,27dbf6c09f5e0f3756ad3e9ea156fbc330601a6a,485.04294398241547
235,543674772357cf9d8a7a8e7dfb89384af80ec30e,497.2699120949235
236,80a12b8a4c9df4ef4f78a33d41858b6f1ea24144,429.6854869019516
238,0736d379ea0962e316ce84cce8e883321be36abb,431.11015303637726
239,98cc842c547c69a0d27776e272fd8b61131b0b37,415.70182050175157
240,890b7696fa85ca2b3e90b3951efec2135e88d5cf,439.71088520800083
241,f3c4cd2f095979416fcac08d630fb1b1623ba5d6,656.1279410399288
242,d84b48f7dc7a6e387e6e985525143589754c5b13,436.20278380311777
243,71c9f09a9ed64f1cf7ba1bef4a614ad21e00afc9,499.72739721354674
244,dc4fe9d4124d9278f58f6f999711116a3fe58be7,491.5311108061169
245,f6624d763619c0898b34dc02adf06f53a1721cd0,435.51705689205096
246,60b1c12559860e7ad966da4c4db5c78e17278fc0,501.11275285918043
248,4f365503582b97ea96462d0d36895a5e7f5926df,426.1297752594393
249,c80869804effb21d50cc8fff3f4c27ba5521240c,383.95001363849417
250,d0f351638d60e84b890a498d69c9a7961cdcdf36,445.33281330916714
251,48e8ec135997ff3676648d5c144c3c7150a7bbb1,403.0312759681838
252,45484014aefd10ea3e4b08fb93e66c251709cca6,448.1880194664149
253,ccd8d735f7b3c980582f9086a6cae8b9ce8dea54,434.60484837343137
254,b2e2d1aa1a539b402da8b8fe52520fdf9ed7cdd9,389.3785375024723
255,25c9e3b023d4d32d0f15cb9041ea6b2bfbec6a63,574.0242846611383
256,0fb75ce5f51e8afaf504c75de131eb31f89faf4f,417.93104354667497
257,26e6e8cec21236dfc21cf98812a3d99a3f87d99b,559.5428533616188
258,c83c66733c5bd90a59996e473bb69e44f6522976,399.75337411057063
262,87f89c855f377c5b100ad2986cc6569e31d94a98,550.4436524718577
265,eaecf3dd32668664e1dcc2d6c7a69042824806a6,438.52467923746104
267,c59b370d3aa06b68878c836bceac844953d74972,459.58259893405676
269,b2128312e70fdb830091aecb6b27d82617e2e226,405.05273867062505
270,8257941af168c0cc15f28bd596fd922352dae732,402.37118594840746
271,854ce153823802674f35bbe1ec010b12e9b3a56f,438.38873156940343
272,27f1db4e266b154f6f7fbef9c225fab472652a7b,438.026051135262
273,11b90bed4a05d11169f308370faf81d6e9ca2c4f,446.0566480170234
278,e001e1d73163c327a4d800697b1b36cd6921f60d,447.24317616898264
279,b83424ca8973e4b2eebf6eb9e26e842999432d22,398.6174911870766
281,912d751c54b46c860c5ba61666fc6fc59ca2689d,372.5079279530491
283,e114f7b197069bde8e158a0dbeaa022dd0c4e280,451.11118257689066
284,fa84edf183bd459ea9394d77bdc191683a75ff66,573.5911362299772
285,76190ff09a736ff83169394b770699b2709c5a27,497.63564119022715
286,515db15df8581ae72bb8e8358833016adee74e02,457.8457035764805
287,e2a05053c19e6fba60d0e582e6c7f371728a7106,473.0680565441412
289,2378556841bc8d5746f2b94d6adefc2db20f9518,528.922514906826
291,796d558152d241567f8a72b535a5e36fe78886f3,440.8731564702334
292,1093edca7a04127a6e04570ee9cb58ef1bc0a69a,520.6404336804204
293,3c748fc7a94edb7ac1484373751ffa8574a3281d,425.60742188381914
294,344a6fc8038e291a6371f94963d7a7f5e1c4d55b,398.8743133868846
296,10a1e8808e744c619376bff659f859cd71e8c41d,455.8503998946906
297,fc959dafc37dde3f173f083486d84ce5c817443f,445.3637008841874
298,6979d91c0a1903a336c640e14eed100821a0e24d,474.11370046518743
299,d4e37c4c1235ce014392f6c8ba0436f195b9e459,533.2748742131652
301,565a955a60c6073157aa869c0351c626a7171ef3,535.3726364153389
303,99be797e423b5ae08fe342ea772738f71975df47,597.9962835131527
304,b579ea83f2d6c15b2c717d16a89827d65f39904b,479.8586356935217
305,e9373b5c22567bec508f2fa2580e4dc3ff687caa,539.0028003248548
306,a465af361b68bd536dd8bf61d522b9b21755ab60,541.8620305618131
307,c8feec2a94d996d03534ce935dec7a034667f107,711.0664316690446
308,af1890b4dbccbf8b6af56051a39bd4b13d1c971b,475.2225961926138
309,f4f7888cfe88b7a3b0f3d94749921976353ae82c,493.9770834755627
310,cdf60a765205a4e99eab17c72a68ff9cfd019dc6,490.49092116393297
311,2e466f15ac7b80870736fac2d0cf4bd7f362e852,469.1319667046728
313,fc83a5c665f70f39b4c7d326118cbf21a898e660,587.9272649612776
315,ced4913c2220be57c54bc9f87bb4f441d5976671,461.5359720290923
316,880ade460a231d722e8bb0e4d17f3c8f77663d37,395.90578176105726
317,7c869f5b89ddf3130c87011b6508ee59e32682c5,428.7943564197994
318,9027f65d4e576928ca59690c280050c53d66506a,669.6356475426691
319,09eb415bcb9842d207139c8bddf32427a134d51e,518.7152581598795
320,f8224c83e27f4921df62876f7ff660b1dab3d974,457.057615321716
322,dfec3182aec0997207e0845b072498065ec89aac,637.7842842726961
323,d653549f6d0ba70e2113b2cc56e9a83e331d2462,566.7123664283849
324,e95674df974af80342f676ca9e3540aecec2b8dc,493.02415418718454
325,f9333cc1eb8af5bca5469d91e2c5d5f661b118ea,540.0408099079559
327,22d86e8b43a9412df86ec15ac231b9919e3ec905,449.73673688669123
328,1c61035799f6afe7f44c1fb68567d7a8945c3943,582.02839055606
329,d5ed4b8732b0d7127a64f7e71137d321c56cc198,416.14916099031905
330,63edbbe59337f861a710bee4fe8a691d231f23da,402.06771853123917
333,21b8ef230efbfca6b5f15b36a3243d76ed390967,505.5739048806305
334,fdfca50f5e6cacd5b30bc546f0fbc271e9a312ff,375.3514206134031
336,3de3c134579726fe4606b7a05f82ce19f00adb09,639.3019674664474
337,0f3f9e48790ed9d6ed17ff5e9cb989849b31cc8c,423.58227076781026
338,bdaf0955746c2cdd3b9ac2538c7502d312fffed8,386.5266111815672
339,520c60d32fd2af8be76abd332859b36d8ae45900,465.98198456798997
340,6cb6e2310b52c2898e500f81bea938446592568b,500.6848547115992
341,0193b535914e1c5a445bede11a408bf1709cd3cb,486.5738306262199
342,f3669f0c65dbf99cdf8f5f176587e84d5fc7560f,503.7126353921052
345,9b378e3937af8e97d4753cdf0c8917306354aaaf,485.86879942229507
346,1c92f54a5fe563622a0e23cf116461a7e147efd8,546.7183968916196
347,90facc45f7578775e3278aa0bd4fb59dad4d37c1,420.74905565546584
349,c8062c4cc7e023996bd37b87295f5a2957ddb172,452.8908000228102
351,f654c32a17935317b2e91d8e16aa8dcbf88e2ef2,585.4522788057958
352,7dd5b0fad5bd47ecbf2e047dee24866a9b5899d6,443.38337641951273
353,1b61f7e184c7040ae4cea725153965e1f7f75308,435.94775284913743
356,95a9c65324583892b2d1a0c1c5163488f92d4a6d,401.98839364513526
357,5b7e7632cf766876026d0da6aa7c6df77bc13438,434.0745319737839
360,96fd0462597b8cf21b1e918c1947106cd8359e5d,524.047931379069
361,5c1cef937c40bf8c30c119160bedde7ef679454e,601.1633034373344
364,e39fbeab552a4b6492346d821d095c3a0d691555,428.78507091118115
365,93694c58636eabfe86550e734efb3775ba4d739f,488.5773394794347
366,8982636d1f9cc5832eddae4d8a04ee2c6adbaebd,628.1859901257915
367,6c05e70130682975c1485a862b6e08b895650671,434.5463369000545
368,8db36ae38c19710d51d3715a6b2a5ecd84f94ff4,408.8452681257406
369,15043d6ede69cc06a2f2a72afcb05c1cdb5870d6,383.5659910572096
370,283df09083d3c7bec2590f22355c7ba32ec88623,506.5716078989411
374,5ae9771e0cd24b8eb599de2e0fd2e04a26520dd3,578.2995061579167
375,23131f453efc29c2af9553d307692c60a3add1ae,439.7728865325869
376,da42a6267fe6eb7baa0a4fd2a18aad577e6889b2,420.4584483989618
377,941646a7d24ee2837d7de90ff0a736bb8f61d68c,393.1322576345948
379,5cd0dfc9a768868f28b11f9cf7870f11cc1ed185,516.2502696913218
380,cb4393cd17b5bdc120dbc15ddd255aa1f35ba090,414.9169432069061
381,72882a9cffe151d94be90e02ce3967a91b628099,485.509598978747
382,cf62916c9829bd3ad05104151eee856d6de7ca1c,607.0188793635912
383,6b8f4241357e65c0491cc0ef96396f811574134c,447.665533631407
385,268d48d0247f055ce2ebdd47cd5d1d3ec45246dc,409.1633555407963
387,afd0fa3f3fc672e3c5d6c21173b5ba3b8caa5c8e,457.42982281489475
389,8288badec4740382dbf7c33e4095cd4db0021bf7,386.2874652404729
390,5e139289eb167622f915eea3d1d6e49d15d1c873,499.0513261362821
391,fc050b2c8fa3446890fe1418332352177dd34506,454.02092078553164
392,8f309746992f374b4c2ea88f171233a9469ba649,433.7943519568073
393,ba1d192a71d5ac1a0b9a30bf3c80ef9dc59fefa2,463.48326319309024
394,145b6344526f9df32f4046c8227282477c51d69f,428.3347379287235
395,a22cd8d6b6ce7424065e477f2973bfd49b1ff2d6,464.0190670356967
396,b23775f4cd460ba687d77b058f2bc46381a0fbfe,447.2424413391165
397,87c4839ae2e1f274e88e7b9644fc1e1991d10aa2,605.4132810497479
400,d0c56c5d1e19653aeb2c6fdf16c80ed09270dcaa,440.66554041794797
401,2bf8abe8000927aeff885fdb26e82579b54bb657,428.19979207683383
403,dfcd80c91cf897b5a23dc36aeaeabf8137049ae0,520.3726164441706
404,3ef584654da4e658ecdffb68bc4398c97f850ccf,428.9748051252368
406,ea90166cae72eec871b4100ed8df997253bea84b,477.6900951124922
407,0e63d5d397c72b9c9ffa3974b3ccc8c228da98ca,513.8497947517084
408,39e7d2bf0be98a9698aa1369b7ca5576d392a777,467.7775374070166
409,01d88812b1d865b9797b9c57ed7538527593eb1d,555.8172489010423
410,879d82fe92a01214851fbeb62cd533fbc9d4ab87,538.5953394460948
412,bddbc541b26cbdc46bf0e2df980a3c8078f13cb9,484.94309307760625
413,a185d42f150631e1f22e1d81f965dda9833d0bec,456.21779351493427
414,c5994a51d6c24ee4360aee344cebf55bd01c39e3,524.2981799965203
415,bbe2574187920d91ca67a657c5a476f92f8ac142,470.23524228974065
416,8637d558542ccd4a1cd1d3ab336711edad60a966,464.63809651510917
417,30fd3c461823b211ad79159256fdb3eb101deff0,440.0338234644539
421,88c22a24bf7c1f218cdd78973beb0e93d5fabbfa,453.10517100373977
423,4d12becc50fceaa6423313e98858cee7d438cc36,495.37263764072
424,5c55594ff65d25732d6104cf60588ae877cb6e9c,589.8574501385293
429,ebd6ed760a482a95ddc04d78254761296ea73608,531.4366668867508
430,4ea487e7fd10b89407bd3c72366366f5b505847f,507.0777475004712
431,0a5d7cb6bd339bb5ed303bbba82a3c0e10b1a405,480.51764645090526
434,49a9374bc759c6a4d1f8fce5ade5908afe72803c,473.673291291852
435,4f735bfdc3f9ff0ca502f569e2511fe07c48f16c,455.08914578266655
436,0f31c91179f811dc6de3d071914cba2716013473,434.2227188204696
437,0d5e00d498ff6f08f74dad2a0d8f566f0c82e978,481.94796207776017
439,a945e7b0eedbc6722edf61c6e9115199efa0e79b,622.0727455478784
440,b52cae71211465e9b76723d1dab3cbb973a76a5e,430.26533905427715
441,c64825379cc10911781e842c315951b835c0246d,445.7926287606508
443,3bbcc2404ed1002943c4a80215c47ff1ba31ebbf,467.84478503087615
444,d077ad9b71684906e32bdfefac01c893ff875c40,519.2901108050584
445,0e02316fc08deb2a0ccf7b606d3564cf17d6763a,418.6823117428169
448,44cb1704d691a020beab734f494635e2603af38b,439.61592211569723
449,c1605ac858a2c5e7a3d674bc0dc56b9bf9fc9b67,493.26831567664567
450,623b39408740e01c79d585779f119b7bd31aca5e,473.46814764718715
451,0954f039d7ce9b83b763b6406d3be54af9d386a0,409.64109120392413
452,feeb6dcbdd5c1d3978768ecfba0f415b01b8cb3b,439.38367121506786
453,bc764ff3e2905ae18491fcc46b2cf1812bf43771,605.9794681974884
454,4d0b3bca1ec9337bb27b9d6710702ebb79a90046,513.4445187033895
455,b62836e36b6a37a18823b0176647b31ed84bd759,454.1623893157134
457,48b56e1d641022967e5b2791de675d524b685afe,443.80292829873554
458,6432732876989f4279e03bea20c37a21e0ce488d,657.0246338944154
459,c322f8d156e174e549a44fdde96be32358ab85a3,441.2219149051226
461,92f7742f9719e14801466a45e33f904e27be2b17,443.87697655446755
462,8f00986f46ca0c0eb14d9d8e811919bb76d29fed,431.46719039754794
463,bfa438beba3914291e0978747404004f6ac79179,427.6015398804481
464,9f7b8de3a22fe246b22d46de9b4c1d219eb1dbba,415.6667130945451
465,7db2c8ad5fbddb754318a9f7d0503ef849ef5729,377.0461846350489
466,9ee6755fd1b35eb53b9ec0d1afeddae8b1d8f38c,480.8375660882056
467,ae6a72fb90a0c32b27c4aa45ff692c3783de2290,397.22441868235313
468,b10d3fcde629e4b68758d3dc58911a113837d255,472.95408514722965
469,2f63a217a4f812d4bb8e3a4a569d43ee7b36a2b2,412.90196095099185
470,587f219b07191d201677be07e43852b73a5dfeda,474.40101088554275
471,c669af3c60a62511990ed5f486c525285df59750,484.65568054909636
473,0dc0351a9da12f74bd5ebc918d60f9580be35182,451.9371223629604
474,20cf36f1ab557d2f44d1fba0291054ecb26d8a8a,402.2376227363854
475,d053a386f5497719e02334cc444acc545258bc3e,541.1816249930808
477,446a666ce7e015158181ce032e318a2ceffad8e1,456.95537880538234
478,ad896f169fe2e02c8cda5553fc0cb4aa100fee20,406.90920079022555
480,80069d0ec6aecb2f74d973c5bdc5c53ff2a48413,490.86538135162107
482,dc56167fb0ffcbf92624206591985da23ba078a3,458.95186537047994
484,10f8e410cadeee997d11e86ed5749c98c184f102,466.7766329006241
485,9c0cedfb49df5633bdc16bc263e8f574a1e283d2,445.77023284422904
486,b18c91072332db5e81e51adf0ad4a18c682fe025,393.16250038162303
487,0d6cc0da68e9b6242b5ce66bbc0ed812fc559874,439.63151072930737
488,040e479d45f83b7944be895d04b035489e544ab1,461.21038534266233
489,b505434998285eb78dfdb4341e4a29cc13a2130a,412.9189997123565
491,b16fb245d399e311b54c8f9edbe23b0814c8b6d7,412.61712129880834
493,1167115298a1ed2c659e1e365224311af48ff8e6,541.8549798474634
495,ce62d6ee9ae7ef876a5642ccf61e1acf7f6aa12c,383.3788952926765
496,386238d9cc8f497486ec335159e3d3fb59d9d57c,523.2291246648487
497,abafba1eacd1b34ef2e197683cc1d19e7c47cd9d,429.06055301483775
498,961f5a44f06750c88181c1809c6d002252b8d4e9,474.83417664620964
499,24605a2eda427ea715d61e72f5e40d6afd31bcfd,587.2030504722875
500,9810f9ad1fed4a44dd3150d3a93c2321402176f7,432.4413033916544
501,0b01e142abc07e710ae4f8a315866d95f16d592b,532.5040245139581
502,ab9b69839b48825032b5f4778eea40e321c1ece5,456.7536896514059
504,3004e0b4f4b454854f0bb254473aa012e17071fd,620.2231900652945
505,84083dec8994b0da91c7be5bd5cf540a92d367f9,383.0106889090299
507,c7edc5daf30c7d84bb0b858deb7b6f0cc58fcad7,514.3093267135297
508,55a278c454fb7415451563c61ed46f5d9dc352d6,520.2632620456789
509,051c748ebab016611de489dfc13b6616d1070361,477.7064274939312
510,e2f476ff901b0c67a7df201c865aca3219bfd803,517.2152073201191
511,7ae5a82f05c571cbccd3d1057aa2ee320633335c,487.1527183827661
512,1c86c6bc97a76e31219f8902c13627c0de70c6cb,493.63220466687426
