,NU_INSCRICAO,NU_NOTA_MT
164,e418fbb77e6ff4103205f3b7f6a66d53183d809b,462.0605631315472
165,8ddbfe70cd41135cb6f125335a48d100789edbf7,385.84753980268414
167,1d3e406d0223d4cb0328850d689ba9fcadf62776,435.64186513649975
169,ecaf075653faf2dcdf946c0ce50629f5083347c0,424.4210474618761
170,7a2bba61a48894f9bd6fc981f77f2b627b0d8ae6,501.83885614428533
172,5b7877d12550dd35d27a02b66a13f2a27bce11ca,429.4621215451919
173,18f800ec03e33ebad5fb97aa8465dd3e5961337e,441.0589659476446
176,b05356be088f726b5ba7e0b0a9aa1b5cf4157b2a,497.2452537116064
178,cc8794762ffa592758b5117d67e0d02e2e8b9c49,515.3432400992467
179,894d277c608610fa8c31db531f64582b9569b2e9,441.2133651948764
180,b2e029961aa0f20071b74708e0d97e6f200ec582,453.7073120356982
181,12c7d85e168b09a0278df140a22bcb0052a59b0a,393.2795519225494
182,64c4892488a9c6281bdabf467a0b5a6382d248e6,481.505037006578
184,ac112e94587e6e4249b7182329ee5a5040ae94ea,536.5359734664282
185,a58cf11e498228f9aaca92b0c49f955a6163fb59,440.20293065892463
186,e8c84701c041b7f3b39f3125a0449fa633589fbe,489.10965891916277
187,af8dd560d9ea4adcfd0d2b6b5f81f95fad9c3222,592.922490933646
189,ac9cc7dbe0e70fb6717aa371a23aa75e6594ec02,433.6775170262989
190,e64ad901853230e396be49311ea98121c348fac6,478.3855974651796
191,8532af19be3729ea233c1f29e4c015820fc7fb3a,482.94451085306
192,6de1d7f2ad49d20e5782f8cacf4f0b677ff2d316,461.7041795925724
193,26853fd075fe27954772c3070997635b94f32b83,414.26772008822377
194,3159f29994dadd5cba1f94c3f3b9ac69e24c1cc2,540.4166994816742
195,574ec310dee846f9ae8eb278480257d463f6fbcc,470.43840756378165
197,8a46e35787225c3e7adef2b998ad9c93a952106b,512.7502725057723
198,b62bf908b504e8c6898777a7f5b88afed358caea,433.15691429546973
199,10d22971ca4f53fc62d02905809ff1c37fbb68fc,585.0970087423827
200,0efd9ad5eb41ad08e1f1af9fbe59eb5845323860,436.4583178258509
202,8f2c4684ec70392c718c278b10b04ddfbd4ced1f,558.1151009496652
204,c03f2bcf9ef69bcfdf270b6ffc6110408f0ead41,459.58478858078234
206,d76614020539405f481c0f5ffb9e6f88a0bf21b7,432.2893940174443
210,92acabe95cd7dd1ae1dd63547cde3a4939cf7e2e,514.2473365155568
211,ddbf5769bc4a6fb2aa16e5a031d8eb7796d1c04c,460.2783123890946
212,176b027cd932b17fcb6f119cfcef338a175062b8,382.51212362422245
213,41474f2dda61d97f38ba79906d3dbcce223d1bd1,518.2923870571819
215,1c5a1514e6a5c44e5683ec01698a83ce474c2e4d,507.55379346876003
218,d4e97da32ccb6987ec074aa48c24ce949c05a78c,431.98409029995423
220,95c1d266a2524560761df98b376c17604733a6ad,540.1810633217804
221,c11c4303d2632cde64105a35554ecb77a8564260,475.80012850677645
222,30ddf113f77266181ef7bf57ea7d4ca3f505fec7,464.65356443905705
223,6d94e9582cfdb5d239f21b3ba08b619d81c5e8aa,542.7612962850371
224,3671441f51dc0c3d052e87d6b8beba46bb70bfeb,434.93810462724946
225,580c34923cbde328e0aef1641dd02033fc862c04,459.7763450676451
227,29d8bf198da9caa59047268faca60207da24d1b7,547.2716510726484
228,1b3f80a1cd9fff0408e96169fcaf006936b34fed,454.6670327899181
229,b5932043b62e0c58e16e2cc2c9d5489390e5c895,488.28616015295023
230,99092cc60948943c59d68d62ed81a75a03059113,469.2618310941641
232,dd69fca6f17420dc911016a79e70583ca7ea330d,439.6677168540165
233,d387995af060965fb9d18973f3dbf4904f071066,415.9997680589351
234,27dbf6c09f5e0f3756ad3e9ea156fbc330601a6a,485.7515380787576
235,543674772357cf9d8a7a8e7dfb89384af80ec30e,498.48606069324836
236,80a12b8a4c9df4ef4f78a33d41858b6f1ea24144,429.6734986234546
238,0736d379ea0962e316ce84cce8e883321be36abb,430.1622975141114
239,98cc842c547c69a0d27776e272fd8b61131b0b37,413.04760751457803
240,890b7696fa85ca2b3e90b3951efec2135e88d5cf,437.32222700687885
241,f3c4cd2f095979416fcac08d630fb1b1623ba5d6,655.5625399484013
242,d84b48f7dc7a6e387e6e985525143589754c5b13,436.1040399014077
243,71c9f09a9ed64f1cf7ba1bef4a614ad21e00afc9,499.66331662179783
244,dc4fe9d4124d9278f58f6f999711116a3fe58be7,494.4571326121151
245,f6624d763619c0898b34dc02adf06f53a1721cd0,433.33993264632693
246,60b1c12559860e7ad966da4c4db5c78e17278fc0,500.47127229790846
248,4f365503582b97ea96462d0d36895a5e7f5926df,427.0692564530668
249,c80869804effb21d50cc8fff3f4c27ba5521240c,383.5299090305101
250,d0f351638d60e84b890a498d69c9a7961cdcdf36,446.1695833709461
251,48e8ec135997ff3676648d5c144c3c7150a7bbb1,401.0023040146078
252,45484014aefd10ea3e4b08fb93e66c251709cca6,448.88985272036535
253,ccd8d735f7b3c980582f9086a6cae8b9ce8dea54,434.1377042860869
254,b2e2d1aa1a539b402da8b8fe52520fdf9ed7cdd9,387.9944064171934
255,25c9e3b023d4d32d0f15cb9041ea6b2bfbec6a63,574.3441952366115
256,0fb75ce5f51e8afaf504c75de131eb31f89faf4f,417.48870767327145
257,26e6e8cec21236dfc21cf98812a3d99a3f87d99b,557.6738996745501
258,c83c66733c5bd90a59996e473bb69e44f6522976,400.45032427671566
262,87f89c855f377c5b100ad2986cc6569e31d94a98,549.6195774898872
265,eaecf3dd32668664e1dcc2d6c7a69042824806a6,438.2092287305462
267,c59b370d3aa06b68878c836bceac844953d74972,458.9673862067528
269,b2128312e70fdb830091aecb6b27d82617e2e226,405.74491843642136
270,8257941af168c0cc15f28bd596fd922352dae732,402.4046968497217
271,854ce153823802674f35bbe1ec010b12e9b3a56f,439.3486763624944
272,27f1db4e266b154f6f7fbef9c225fab472652a7b,438.29783221368183
273,11b90bed4a05d11169f308370faf81d6e9ca2c4f,445.0904740517078
278,e001e1d73163c327a4d800697b1b36cd6921f60d,444.6578009130067
279,b83424ca8973e4b2eebf6eb9e26e842999432d22,399.3985961633695
281,912d751c54b46c860c5ba61666fc6fc59ca2689d,371.4249238459702
283,e114f7b197069bde8e158a0dbeaa022dd0c4e280,451.3495399028029
284,fa84edf183bd459ea9394d77bdc191683a75ff66,574.5829351690738
285,76190ff09a736ff83169394b770699b2709c5a27,496.99062355710106
286,515db15df8581ae72bb8e8358833016adee74e02,455.471571479818
287,e2a05053c19e6fba60d0e582e6c7f371728a7106,474.3699676892853
289,2378556841bc8d5746f2b94d6adefc2db20f9518,530.6235217825274
291,796d558152d241567f8a72b535a5e36fe78886f3,441.217435843204
292,1093edca7a04127a6e04570ee9cb58ef1bc0a69a,520.3007139808562
293,3c748fc7a94edb7ac1484373751ffa8574a3281d,424.9749278918378
294,344a6fc8038e291a6371f94963d7a7f5e1c4d55b,399.5866551230576
296,10a1e8808e744c619376bff659f859cd71e8c41d,456.9484122676405
297,fc959dafc37dde3f173f083486d84ce5c817443f,444.77014125909363
298,6979d91c0a1903a336c640e14eed100821a0e24d,473.06659864998556
299,d4e37c4c1235ce014392f6c8ba0436f195b9e459,532.1195714429302
301,565a955a60c6073157aa869c0351c626a7171ef3,533.2327112229075
303,99be797e423b5ae08fe342ea772738f71975df47,597.4313206174779
304,b579ea83f2d6c15b2c717d16a89827d65f39904b,483.74267710816895
305,e9373b5c22567bec508f2fa2580e4dc3ff687caa,537.7506970221089
306,a465af361b68bd536dd8bf61d522b9b21755ab60,542.1302199585523
307,c8feec2a94d996d03534ce935dec7a034667f107,708.405787065303
308,af1890b4dbccbf8b6af56051a39bd4b13d1c971b,475.67319734189425
309,f4f7888cfe88b7a3b0f3d94749921976353ae82c,493.20369857725206
310,cdf60a765205a4e99eab17c72a68ff9cfd019dc6,490.33280827058724
311,2e466f15ac7b80870736fac2d0cf4bd7f362e852,473.7218756356966
313,fc83a5c665f70f39b4c7d326118cbf21a898e660,586.920724465384
315,ced4913c2220be57c54bc9f87bb4f441d5976671,460.1425944308507
316,880ade460a231d722e8bb0e4d17f3c8f77663d37,395.5827442518535
317,7c869f5b89ddf3130c87011b6508ee59e32682c5,428.872414008721
318,9027f65d4e576928ca59690c280050c53d66506a,670.3767637971437
319,09eb415bcb9842d207139c8bddf32427a134d51e,519.1318250437353
320,f8224c83e27f4921df62876f7ff660b1dab3d974,458.0683175693807
322,dfec3182aec0997207e0845b072498065ec89aac,638.1791891349635
323,d653549f6d0ba70e2113b2cc56e9a83e331d2462,567.1641023370141
324,e95674df974af80342f676ca9e3540aecec2b8dc,491.0662045288489
325,f9333cc1eb8af5bca5469d91e2c5d5f661b118ea,542.0126754805249
327,22d86e8b43a9412df86ec15ac231b9919e3ec905,449.24165869973183
328,1c61035799f6afe7f44c1fb68567d7a8945c3943,581.1390607202104
329,d5ed4b8732b0d7127a64f7e71137d321c56cc198,415.7125478984297
330,63edbbe59337f861a710bee4fe8a691d231f23da,402.4879949657372
333,21b8ef230efbfca6b5f15b36a3243d76ed390967,505.16704313721294
334,fdfca50f5e6cacd5b30bc546f0fbc271e9a312ff,376.02955550056237
336,3de3c134579726fe4606b7a05f82ce19f00adb09,638.1288759852728
337,0f3f9e48790ed9d6ed17ff5e9cb989849b31cc8c,422.6391644177519
338,bdaf0955746c2cdd3b9ac2538c7502d312fffed8,385.99562250300187
339,520c60d32fd2af8be76abd332859b36d8ae45900,466.3395187614229
340,6cb6e2310b52c2898e500f81bea938446592568b,499.50282532529724
341,0193b535914e1c5a445bede11a408bf1709cd3cb,485.7371220284234
342,f3669f0c65dbf99cdf8f5f176587e84d5fc7560f,503.70919957442817
345,9b378e3937af8e97d4753cdf0c8917306354aaaf,483.685103169648
346,1c92f54a5fe563622a0e23cf116461a7e147efd8,547.4046205863488
347,90facc45f7578775e3278aa0bd4fb59dad4d37c1,420.5198827398475
349,c8062c4cc7e023996bd37b87295f5a2957ddb172,452.93772136701773
351,f654c32a17935317b2e91d8e16aa8dcbf88e2ef2,586.9758672004693
352,7dd5b0fad5bd47ecbf2e047dee24866a9b5899d6,441.3642941918346
353,1b61f7e184c7040ae4cea725153965e1f7f75308,434.5625587332847
356,95a9c65324583892b2d1a0c1c5163488f92d4a6d,403.03707508073717
357,5b7e7632cf766876026d0da6aa7c6df77bc13438,434.4649220480203
360,96fd0462597b8cf21b1e918c1947106cd8359e5d,525.3129914752362
361,5c1cef937c40bf8c30c119160bedde7ef679454e,601.0184821460089
364,e39fbeab552a4b6492346d821d095c3a0d691555,429.1343632249918
365,93694c58636eabfe86550e734efb3775ba4d739f,484.67318617354226
366,8982636d1f9cc5832eddae4d8a04ee2c6adbaebd,628.5542127812357
367,6c05e70130682975c1485a862b6e08b895650671,434.4092465575538
368,8db36ae38c19710d51d3715a6b2a5ecd84f94ff4,409.31888053839623
369,15043d6ede69cc06a2f2a72afcb05c1cdb5870d6,384.2750590785414
370,283df09083d3c7bec2590f22355c7ba32ec88623,505.31394532345433
374,5ae9771e0cd24b8eb599de2e0fd2e04a26520dd3,579.3135347783937
375,23131f453efc29c2af9553d307692c60a3add1ae,440.1022049857568
376,da42a6267fe6eb7baa0a4fd2a18aad577e6889b2,423.98846442792654
377,941646a7d24ee2837d7de90ff0a736bb8f61d68c,393.80923331679105
379,5cd0dfc9a768868f28b11f9cf7870f11cc1ed185,513.3956672470324
380,cb4393cd17b5bdc120dbc15ddd255aa1f35ba090,415.21260993357674
381,72882a9cffe151d94be90e02ce3967a91b628099,484.54109257001784
382,cf62916c9829bd3ad05104151eee856d6de7ca1c,605.3544248552973
383,6b8f4241357e65c0491cc0ef96396f811574134c,447.86907635249855
385,268d48d0247f055ce2ebdd47cd5d1d3ec45246dc,410.08966162065275
387,afd0fa3f3fc672e3c5d6c21173b5ba3b8caa5c8e,457.5438126747958
389,8288badec4740382dbf7c33e4095cd4db0021bf7,386.7322650610509
390,5e139289eb167622f915eea3d1d6e49d15d1c873,499.40330245624324
391,fc050b2c8fa3446890fe1418332352177dd34506,451.9777124509961
392,8f309746992f374b4c2ea88f171233a9469ba649,433.9662920082005
393,ba1d192a71d5ac1a0b9a30bf3c80ef9dc59fefa2,462.88891318383764
394,145b6344526f9df32f4046c8227282477c51d69f,429.5609221946595
395,a22cd8d6b6ce7424065e477f2973bfd49b1ff2d6,465.8619190986831
396,b23775f4cd460ba687d77b058f2bc46381a0fbfe,445.34988361926867
397,87c4839ae2e1f274e88e7b9644fc1e1991d10aa2,604.7983703499954
400,d0c56c5d1e19653aeb2c6fdf16c80ed09270dcaa,443.1781893218614
401,2bf8abe8000927aeff885fdb26e82579b54bb657,426.20934197306667
403,dfcd80c91cf897b5a23dc36aeaeabf8137049ae0,521.4201278950843
404,3ef584654da4e658ecdffb68bc4398c97f850ccf,429.62418300746333
406,ea90166cae72eec871b4100ed8df997253bea84b,478.5195813207916
407,0e63d5d397c72b9c9ffa3974b3ccc8c228da98ca,513.8353601423169
408,39e7d2bf0be98a9698aa1369b7ca5576d392a777,466.9738759569943
409,01d88812b1d865b9797b9c57ed7538527593eb1d,554.5872779412039
410,879d82fe92a01214851fbeb62cd533fbc9d4ab87,537.5114917901633
412,bddbc541b26cbdc46bf0e2df980a3c8078f13cb9,484.01237090654166
413,a185d42f150631e1f22e1d81f965dda9833d0bec,456.97250012638864
414,c5994a51d6c24ee4360aee344cebf55bd01c39e3,522.308885485864
415,bbe2574187920d91ca67a657c5a476f92f8ac142,470.7637853063508
416,8637d558542ccd4a1cd1d3ab336711edad60a966,463.09350154733914
417,30fd3c461823b211ad79159256fdb3eb101deff0,440.7079968179301
421,88c22a24bf7c1f218cdd78973beb0e93d5fabbfa,454.6629078108454
423,4d12becc50fceaa6423313e98858cee7d438cc36,495.11166535468595
424,5c55594ff65d25732d6104cf60588ae877cb6e9c,591.8847319401516
429,ebd6ed760a482a95ddc04d78254761296ea73608,529.2273927247797
430,4ea487e7fd10b89407bd3c72366366f5b505847f,507.7149023438279
431,0a5d7cb6bd339bb5ed303bbba82a3c0e10b1a405,479.3502611744388
434,49a9374bc759c6a4d1f8fce5ade5908afe72803c,473.4757425658569
435,4f735bfdc3f9ff0ca502f569e2511fe07c48f16c,455.2615824791189
436,0f31c91179f811dc6de3d071914cba2716013473,433.8997117817206
437,0d5e00d498ff6f08f74dad2a0d8f566f0c82e978,482.3188584718668
439,a945e7b0eedbc6722edf61c6e9115199efa0e79b,623.0455508186392
440,b52cae71211465e9b76723d1dab3cbb973a76a5e,429.0725126449802
441,c64825379cc10911781e842c315951b835c0246d,446.1274255548397
443,3bbcc2404ed1002943c4a80215c47ff1ba31ebbf,469.83077163536075
444,d077ad9b71684906e32bdfefac01c893ff875c40,519.4043508047064
445,0e02316fc08deb2a0ccf7b606d3564cf17d6763a,418.36294202508634
448,44cb1704d691a020beab734f494635e2603af38b,438.66043560504704
449,c1605ac858a2c5e7a3d674bc0dc56b9bf9fc9b67,492.7818756375712
450,623b39408740e01c79d585779f119b7bd31aca5e,474.25511205565175
451,0954f039d7ce9b83b763b6406d3be54af9d386a0,410.3606546471947
452,feeb6dcbdd5c1d3978768ecfba0f415b01b8cb3b,437.1587931356094
453,bc764ff3e2905ae18491fcc46b2cf1812bf43771,605.83777650398
454,4d0b3bca1ec9337bb27b9d6710702ebb79a90046,513.7927528205648
455,b62836e36b6a37a18823b0176647b31ed84bd759,454.6234285051353
457,48b56e1d641022967e5b2791de675d524b685afe,445.21229400889376
458,6432732876989f4279e03bea20c37a21e0ce488d,656.8203997347314
459,c322f8d156e174e549a44fdde96be32358ab85a3,441.9666196914652
461,92f7742f9719e14801466a45e33f904e27be2b17,442.1084042740735
462,8f00986f46ca0c0eb14d9d8e811919bb76d29fed,430.23723135172423
463,bfa438beba3914291e0978747404004f6ac79179,427.59540531539
464,9f7b8de3a22fe246b22d46de9b4c1d219eb1dbba,416.3549583375747
465,7db2c8ad5fbddb754318a9f7d0503ef849ef5729,377.7197187079167
466,9ee6755fd1b35eb53b9ec0d1afeddae8b1d8f38c,480.6395041012518
467,ae6a72fb90a0c32b27c4aa45ff692c3783de2290,400.0501276792928
468,b10d3fcde629e4b68758d3dc58911a113837d255,471.7510292137894
469,2f63a217a4f812d4bb8e3a4a569d43ee7b36a2b2,413.6977939710603
470,587f219b07191d201677be07e43852b73a5dfeda,475.78974173604723
471,c669af3c60a62511990ed5f486c525285df59750,485.7612842205397
473,0dc0351a9da12f74bd5ebc918d60f9580be35182,451.05586764620244
474,20cf36f1ab557d2f44d1fba0291054ecb26d8a8a,402.03969247023497
475,d053a386f5497719e02334cc444acc545258bc3e,538.3966908021571
477,446a666ce7e015158181ce032e318a2ceffad8e1,457.0085629737317
478,ad896f169fe2e02c8cda5553fc0cb4aa100fee20,406.76829821353067
480,80069d0ec6aecb2f74d973c5bdc5c53ff2a48413,490.2534201544856
482,dc56167fb0ffcbf92624206591985da23ba078a3,457.8883927803737
484,10f8e410cadeee997d11e86ed5749c98c184f102,468.95283625980716
485,9c0cedfb49df5633bdc16bc263e8f574a1e283d2,444.2136210896026
486,b18c91072332db5e81e51adf0ad4a18c682fe025,391.3154976455066
487,0d6cc0da68e9b6242b5ce66bbc0ed812fc559874,438.50844446062024
488,040e479d45f83b7944be895d04b035489e544ab1,459.70612428596417
489,b505434998285eb78dfdb4341e4a29cc13a2130a,412.15590823830604
491,b16fb245d399e311b54c8f9edbe23b0814c8b6d7,413.8966599951501
493,1167115298a1ed2c659e1e365224311af48ff8e6,541.3793138537158
495,ce62d6ee9ae7ef876a5642ccf61e1acf7f6aa12c,382.55152467999454
496,386238d9cc8f497486ec335159e3d3fb59d9d57c,524.4553078788169
497,abafba1eacd1b34ef2e197683cc1d19e7c47cd9d,430.13516889066744
498,961f5a44f06750c88181c1809c6d002252b8d4e9,477.3395721743074
499,24605a2eda427ea715d61e72f5e40d6afd31bcfd,585.6373561697385
500,9810f9ad1fed4a44dd3150d3a93c2321402176f7,433.6075609331239
501,0b01e142abc07e710ae4f8a315866d95f16d592b,533.2129719436839
502,ab9b69839b48825032b5f4778eea40e321c1ece5,455.99887578608656
504,3004e0b4f4b454854f0bb254473aa012e17071fd,621.0240053541922
505,84083dec8994b0da91c7be5bd5cf540a92d367f9,383.6038371923693
507,c7edc5daf30c7d84bb0b858deb7b6f0cc58fcad7,515.3468126781725
508,55a278c454fb7415451563c61ed46f5d9dc352d6,519.6640607068189
509,051c748ebab016611de489dfc13b6616d1070361,475.9876612626034
510,e2f476ff901b0c67a7df201c865aca3219bfd803,516.6265830837465
511,7ae5a82f05c571cbccd3d1057aa2ee320633335c,485.7330012749256
512,1c86c6bc97a76e31219f8902c13627c0de70c6cb,491.5100415910094
