Região,Local,Gênero,"De que cor, ou raça, você se considera?",Idade,Naturalidade,Última cidade,Tempo na Cidade,Tempo de Rua,Escolaridade,Categorização,Caracterização,Tipo de Substância,Documentação,Tem Cadastro Único,Benefício Sócio-assistencial,Benefícios Previdenciários
Leste,Rua,Feminino,Parda,18 à 24 anos,Campinas,Campinas,Mais de 10 Anos,5 à 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Álcool, Maconha",Sim,Não,,
Leste,Rua,Feminino,Preta,40 à 49 anos,,,,,,Morador de Rua,,Álcool,,,,
Sul,Rua,Masculino,Preta,40 à 49 anos,Campinas,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Crack, Maconha",Sim,Não,,
Leste,Rua,Masculino,,,,,,,,Morador de Rua,,,,,,
Sul,Rua,Masculino,S.I.,50 à 59 anos,Outro Estado,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Completo,Morador de Mocó,Faz Uso de Substância Psicoativa,"Crack, Álcool, Maconha, Cocaína, Tabaco",Não,Não,,
Leste,Rua,Masculino,Branca,Acima de 60 anos,Estado de São Paulo,Campinas,Mais de 10 Anos,1 à 2 Anos,Ensino Médio Completo,Morador de Rua,Faz Uso de Substância Psicoativa,"Álcool, Maconha, Tabaco",Sim,Não,,
Sul,Rua,Masculino,S.I.,25 à 39 anos,Campinas,Estado de São Paulo,1 dia à 1 Mês,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Mocó,,"Crack, Maconha, Cocaína, Tabaco",Não,Não,,
Leste,Rua,Masculino,Branca,Acima de 60 anos,Outro Estado,Campinas,Mais de 10 Anos,Mais de 10 Anos,Não Alfabetizado,Morador de Rua,Pessoa Com Deficiência,Álcool,Sim,Não,,
Sul,Rua,Masculino,Parda,25 à 39 anos,Região Metropolitana de Campinas,Região Metropolitana de Campinas,1 à 2 Anos,,Ensino Fundamental Incompleto,Morador de Mocó,Faz Uso de Substância Psicoativa,Tabaco,Não,Não,,
Sul,Rua,Masculino,Parda,18 à 24 anos,Estado de São Paulo,Estado de São Paulo,1 dia à 1 Mês,3 à 6 Meses,Ensino Fundamental Incompleto,Migrante,Faz Uso de Substância Psicoativa,"Crack, Maconha",Sim,Não,,
Leste,Rua,Masculino,Preta,25 à 39 anos,São Paulo - Capital,Campinas,Mais de 10 Anos,5 à 10 Anos,Não Alfabetizado,Morador de Rua,Suspeita de Deficiência Intelectual,Álcool,Não,Não,,
Leste,Rua,Feminino,Parda,25 à 39 anos,Outro Estado,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Morador de Rua,Suspeita de Transtorno Mental,"Crack, Álcool",Sim,Sim,Bolsa Família,
Leste,Rua,Masculino,Preta,Acima de 60 anos,Outro Estado,Região Metropolitana de Campinas,2 à 5 Anos,2 à 5 Anos,Ensino Fundamental Completo,Munícipe,Faz Uso de Substância Psicoativa,Álcool,Sim,Sim,Bolsa Família,
Leste,Rua,Feminino,Parda,25 à 39 anos,Outro Estado,Outro Estado,5 à 10 Anos,1 à 2 Anos,Ensino Fundamental Incompleto,Morador de Rua,Faz Uso de Substância Psicoativa,"Álcool, Tabaco",Sim,Sim,Bolsa Família,
Leste,Rua,Masculino,Branca,25 à 39 anos,Outro Estado,Campinas,Mais de 10 Anos,1 à 3 Meses,Ensino Fundamental Incompleto,Itinerante,NDA,"Álcool, Tabaco",Sim,Sim,Bolsa Família,Auxílio-Doença
Leste,Rua,Masculino,Parda,40 à 49 anos,Outro Estado,São Paulo - Capital,5 à 10 Anos,1 à 3 Meses,Alfabetizado,cigano,"Suspeita de Transtorno Mental, Faz Uso de Substância Psicoativa","Crack, Álcool, Tabaco",Não,Não,,
Sul,Rua,Masculino,Parda,25 à 39 anos,Outro Estado,Região Metropolitana de Campinas,3 à 6 Meses,3 à 6 Meses,Não Alfabetizado,Morador de Rua,NDA,Álcool,Sim,Não,,
Sul,Rua,Masculino,,40 à 49 anos,Outro Estado,Campinas,Mais de 10 Anos,1 à 2 Anos,Não Alfabetizado,Morador de Rua,,Álcool,Sim,Não,,
Sul,Rua,Masculino,Branca,40 à 49 anos,Outro Estado,Estado de São Paulo,,Mais de 10 Anos,Não Alfabetizado,Morador de Rua,NDA,,Sim,Sim,Bolsa Família,
Sul,Rua,Feminino,Parda,40 à 49 anos,Campinas,Campinas,Mais de 10 Anos,5 à 10 Anos,Alfabetizado,Munícipe,NDA,Tabaco,Sim,Sim,Bolsa Família,
Sul,Rua,Masculino,Preta,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Completo,Morador de Mocó,NDA,"Crack, Álcool, Maconha, Cocaína, Tabaco",Sim,Não,,
Leste,Rua,Masculino,Parda,25 à 39 anos,Estado de São Paulo,Campinas,,Mais de 10 Anos,,Morador de Rua,,"Álcool, Tabaco",,,,
Leste,Casa de Passagem/Nossa Casa,Masculino,Parda,40 à 49 anos,Campinas,Campinas,Mais de 10 Anos,3 à 6 Meses,Ensino Médio Completo,Abrigado,Faz Uso de Substância Psicoativa,Álcool,Sim,Sim,,
Leste,Nossa Casa,Masculino,Parda,25 à 39 anos,Região Metropolitana de Campinas,Campinas,2 à 5 Anos,2 à 5 Anos,Ensino Fundamental Completo,Abrigado,Faz Uso de Substância Psicoativa,Álcool,Sim,Sim,Bolsa Família,
Leste,Nossa Casa,Masculino,Branca,25 à 39 anos,Estado de São Paulo,São Paulo - Capital,6 Meses à 1 Ano,3 à 6 Meses,Ensino Fundamental Completo,Abrigado,NDA,Tabaco,Sim,Sim,Bolsa Família,
Leste,Nossa Casa,Masculino,Branca,18 à 24 anos,Região Metropolitana de Campinas,Região Metropolitana de Campinas,3 à 6 Meses,3 à 6 Meses,Ensino Médio Completo,Abrigado,NDA,,Sim,Sim,Bolsa Família,
Leste,Nossa casa,Masculino,Branca,25 à 39 anos,Região Metropolitana de Campinas,Região Metropolitana de Campinas,3 à 6 Meses,3 à 6 Meses,Alfabetizado,Abrigado,Faz Uso de Substância Psicoativa,"Crack, Álcool, Maconha",Sim,Sim,Bolsa Família,
Leste,Nossa casa,Masculino,Branca,40 à 49 anos,Região Metropolitana de Campinas,Campinas,2 à 5 Anos,1 à 2 Anos,Ensino Fundamental Incompleto,Abrigado,Faz Uso de Substância Psicoativa,"Álcool, Tabaco",Sim,Sim,Bolsa Família,
Leste,Abrigos,Masculino,Parda,25 à 39 anos,Outro Estado,Campinas,5 à 10 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Abrigado,"Pessoa Com Deficiência, Suspeita de Transtorno Mental, Faz Uso de Substância Psicoativa","Crack, Álcool",Sim,Sim,Bolsa Família,
Leste,Abrigos,Masculino,Parda,25 à 39 anos,Outro Estado,Campinas,1 à 2 Anos,6 Meses à 1 Ano,Ensino Fundamental Incompleto,Abrigado,Faz Uso de Substância Psicoativa,Álcool,Sim,Sim,Bolsa Família,
Leste,Nossa Casa,Masculino,Parda,50 à 59 anos,Outro Estado,Campinas,5 à 10 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Abrigado,Faz Uso de Substância Psicoativa,"Álcool, Tabaco",Sim,Sim,Bolsa Família,
Leste,Nossa casa,Masculino,Parda,50 à 59 anos,Outro Estado,Campinas,5 à 10 Anos,1 à 3 Meses,Ensino Fundamental Completo,Abrigado,NDA,,Sim,Sim,Bolsa Família,
Leste,Abrigos,Masculino,Branca,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Abrigado,Faz Uso de Substância Psicoativa,"Álcool, Maconha, Cocaína, Tabaco",Sim,Sim,Bolsa Família,
Leste,Nossa casa,Masculino,Parda,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,5 à 10 Anos,Ensino Fundamental Incompleto,Abrigado,Faz Uso de Substância Psicoativa,Maconha,Sim,Sim,Bolsa Família,
Leste,Nossa casa,Masculino,Branca,40 à 49 anos,Estado de São Paulo,Campinas,Mais de 10 Anos,1 à 2 Anos,Ensino Fundamental Completo,Abrigado,NDA,,Sim,Sim,,
Leste,Nossa csa,Masculino,Branca,25 à 39 anos,Estado de São Paulo,Campinas,Mais de 10 Anos,5 à 10 Anos,Ensino Fundamental Completo,Abrigado,Faz Uso de Substância Psicoativa,"Crack, Álcool, Maconha, Cocaína, Tabaco",Sim,Sim,Bolsa Família,
Leste,Nossa casa,Masculino,Branca,25 à 39 anos,Região Metropolitana de Campinas,Campinas,5 à 10 Anos,5 à 10 Anos,Ensino Fundamental Incompleto,Abrigado,Faz Uso de Substância Psicoativa,"Álcool, Tabaco",,Sim,Bolsa Família,
Leste,Nossa casa,Masculino,Parda,25 à 39 anos,Estado de São Paulo,Campinas,1 à 2 Anos,6 Meses à 1 Ano,Ensino Fundamental Completo,Abrigado,Faz Uso de Substância Psicoativa,Maconha,Sim,Sim,Bolsa Família,
Leste,Nossa casa,Masculino,Parda,25 à 39 anos,Estado de São Paulo,Campinas,2 à 5 Anos,1 à 2 Anos,Ensino Fundamental Incompleto,Abrigado,Faz Uso de Substância Psicoativa,"Crack, Álcool, Maconha, Tabaco",Sim,Sim,Bolsa Família,
Leste,Nossa casa,Masculino,Parda,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,6 Meses à 1 Ano,Ensino Fundamental Incompleto,Abrigado,NDA,,Sim,Sim,Bolsa Família,
Leste,Nossa casa,Masculino,Branca,50 à 59 anos,São Paulo - Capital,Campinas,Mais de 10 Anos,5 à 10 Anos,Ensino Médio Incompleto,Abrigado,Faz Uso de Substância Psicoativa,"Crack, Álcool, Maconha, Cocaína, Tabaco",,Sim,Bolsa Família,
Leste,Nossa casa,Masculino,Parda,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Abrigado,Faz Uso de Substância Psicoativa,"Crack, Álcool, Maconha, Cocaína, Tabaco",Sim,Sim,Bolsa Família,
Leste,Nossa casa,LGBT (Queer),Parda,Até 17 anos,Campinas,Campinas,Mais de 10 Anos,2 à 5 Anos,Ensino Médio Incompleto,Abrigado,Pessoa Com Deficiência,,Sim,Sim,Bolsa Família,
Leste,Abrigos,Masculino,Preta,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,3 à 6 Meses,Ensino Fundamental Incompleto,Abrigado,NDA,Maconha,Sim,Não,,
Leste,Abrigos,Masculino,Parda,40 à 49 anos,Outro Estado,São Paulo - Capital,5 à 10 Anos,1 à 2 Anos,Ensino Fundamental Incompleto,Abrigado,NDA,Álcool,Sim,Sim,Bolsa Família,
Leste,Abrigos,Masculino,Branca,50 à 59 anos,Estado de São Paulo,Estado de São Paulo,Mais de 10 Anos,5 à 10 Anos,Não Alfabetizado,Abrigado,Suspeita de Deficiência Intelectual,,Sim,Sim,BPC,
Leste,Abrigos,Masculino,Branca,40 à 49 anos,São Paulo - Capital,Estado de São Paulo,6 Meses à 1 Ano,6 Meses à 1 Ano,Ensino Superior Incompleto,Abrigado,NDA,Álcool,Sim,Sim,Bolsa Família,
Leste,Abrigos,Masculino,Parda,18 à 24 anos,Região Metropolitana de Campinas,Campinas,Mais de 10 Anos,2 à 5 Anos,Ensino Médio Incompleto,Abrigado,NDA,Maconha,Sim,Não,,
Leste,Abrigos,Masculino,Parda,50 à 59 anos,Outro Estado,Estado de São Paulo,2 à 5 Anos,1 à 2 Anos,Ensino Fundamental Incompleto,Abrigado,NDA,,,Sim,Bolsa Família,
Leste,Abrigos,Masculino,Parda,40 à 49 anos,Campinas,Campinas,Mais de 10 Anos,6 Meses à 1 Ano,Ensino Fundamental Incompleto,Abrigado,NDA,"Álcool, Cocaína",Sim,Sim,Bolsa Família,
Leste,Abrigos,Masculino,Parda,40 à 49 anos,Estado de São Paulo,Região Metropolitana de Campinas,Mais de 10 Anos,1 à 2 Anos,Ensino Médio Incompleto,Abrigado,Faz Uso de Substância Psicoativa,Maconha,Sim,Sim,Bolsa Família,
Leste,Abrigos,Masculino,Branca,40 à 49 anos,Outro Estado,Outro Estado,Mais de 10 Anos,6 Meses à 1 Ano,Ensino Superior Incompleto,Abrigado,Faz Uso de Substância Psicoativa,Cocaína,Sim,Sim,Bolsa Família,
Leste,Abrigos,Masculino,Branca,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,1 dia à 1 Mês,Ensino Fundamental Completo,Abrigado,Faz Uso de Substância Psicoativa,Álcool,Sim,Sim,Bolsa Família,
Sul,Abrigos,Feminino,Preta,18 à 24 anos,Campinas,Campinas,Mais de 10 Anos,1 à 3 Meses,Ensino Fundamental Incompleto,Abrigado,Faz Uso de Substância Psicoativa,"Crack, Álcool, Maconha, Tabaco",Sim,Não,,
Sul,Abrigos,Feminino,Parda,18 à 24 anos,Estado de São Paulo,Estado de São Paulo,1 à 2 Anos,,Ensino Médio Incompleto,Abrigado,,,Sim,Sim,Bolsa Família,
Sul,Abrigos,Feminino,Preta,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,5 à 10 Anos,Ensino Fundamental Incompleto,Abrigado,Faz Uso de Substância Psicoativa,"Crack, Álcool, Maconha, Tabaco",Sim,Sim,Bolsa Família,
Sul,Abrigos,Feminino,Branca,40 à 49 anos,São Paulo - Capital,São Paulo - Capital,Mais de 10 Anos,3 à 6 Meses,Ensino Médio Incompleto,Abrigado,"Suspeita de Transtorno Mental, Faz Uso de Substância Psicoativa","Crack, Tabaco",Sim,Sim,Bolsa Família,
Sul,Abrigos,Feminino,Parda,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Abrigado,"Suspeita de Transtorno Mental, Suspeita de Deficiência Intelectual, Faz Uso de Substância Psicoativa","Crack, Álcool, Maconha, Tabaco",Sim,Sim,Bolsa Família,
Sul,Abrigos,Feminino,Preta,18 à 24 anos,São Paulo - Capital,São Paulo - Capital,Mais de 10 Anos,,Ensino Fundamental Incompleto,Abrigado,Faz Uso de Substância Psicoativa,"Maconha, Tabaco",Sim,Sim,Bolsa Família,
Sul,Abrigos,Feminino,Parda,40 à 49 anos,São Paulo - Capital,Estado de São Paulo,Mais de 10 Anos,Mais de 10 Anos,Ensino Médio Incompleto,Abrigado,Suspeita de Transtorno Mental,,Sim,Sim,Bolsa Família,
Sul,Abrigos,LGBT (Queer),Preta,18 à 24 anos,Campinas,Campinas,Mais de 10 Anos,,Ensino Fundamental Incompleto,Abrigado,Faz Uso de Substância Psicoativa,"Álcool, Maconha, Tabaco",Sim,Sim,Bolsa Família,
Sul,Abrigos,LGBT (Queer),Preta,40 à 49 anos,Outro Estado,Outro Estado,1 à 2 Anos,1 dia à 1 Mês,Ensino Médio Completo,Abrigado,Faz Uso de Substância Psicoativa,Tabaco,Sim,Sim,Bolsa Família,
Sul,Abrigos,Feminino,Parda,25 à 39 anos,Estado de São Paulo,Outro Estado,5 à 10 Anos,5 à 10 Anos,Ensino Médio Incompleto,Abrigado,Faz Uso de Substância Psicoativa,"Crack, Tabaco",Sim,Sim,Bolsa Família,
Sul,Abrigos,Feminino,Preta,40 à 49 anos,São Paulo - Capital,Estado de São Paulo,Mais de 10 Anos,1 dia à 1 Mês,Ensino Fundamental Incompleto,Abrigado,"Suspeita de Transtorno Mental, Faz Uso de Substância Psicoativa",Cocaína,Sim,Sim,BPC,Pensões
Sul,Abrigos,Feminino,Parda,40 à 49 anos,Campinas,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Abrigado,Faz Uso de Substância Psicoativa,"Crack, Álcool, Tabaco",Sim,Sim,Bolsa Família,
Leste,Abrigos,Masculino,Branca,25 à 39 anos,Estado de São Paulo,Campinas,Mais de 10 Anos,3 à 6 Meses,Ensino Médio Completo,Abrigado,NDA,"Álcool, Maconha, Cocaína, Tabaco",Sim,Sim,Bolsa Família,
Leste,Abrigos,Masculino,Preta,18 à 24 anos,Outro Estado,Outro Estado,Mais de 10 Anos,Mais de 10 Anos,Ensino Médio Incompleto,Abrigado,NDA,"Maconha, Cocaína",Sim,Sim,,
Leste,Abrigos,Masculino,Parda,50 à 59 anos,Outro Estado,São Paulo - Capital,5 à 10 Anos,6 Meses à 1 Ano,Alfabetizado,Abrigado,Suspeita de Deficiência Intelectual,Álcool,Sim,Sim,Bolsa Família,
Leste,Abrigos,Masculino,Branca,50 à 59 anos,Campinas,Campinas,Mais de 10 Anos,1 à 2 Anos,Ensino Fundamental Incompleto,Abrigado,Suspeita de Deficiência Intelectual,,Sim,Sim,Bolsa Família,
Norte,SAMIM,Masculino,Parda,40 à 49 anos,Estado de São Paulo,Campinas,1 à 2 Anos,6 Meses à 1 Ano,Ensino Médio Completo,Abrigado,NDA,Tabaco,Sim,Sim,Bolsa Família,
Norte,Abrigos,Masculino,Parda,50 à 59 anos,São Paulo - Capital,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Abrigado,NDA,,Sim,Sim,Bolsa Família,
,Abrigos,Masculino,Parda,40 à 49 anos,São Paulo - Capital,Estado de São Paulo,Mais de 10 Anos,1 à 3 Meses,Ensino Médio Completo,Abrigado,Faz Uso de Substância Psicoativa,Álcool,Sim,Sim,,
,Abrigos,Masculino,Parda,50 à 59 anos,Estado de São Paulo,Região Metropolitana de Campinas,Mais de 10 Anos,5 à 10 Anos,Ensino Fundamental Completo,Abrigado,Faz Uso de Substância Psicoativa,Tabaco,Sim,Não,Bolsa Família,
,Abrigos,Masculino,Branca,50 à 59 anos,Outro Estado,Estado de São Paulo,5 à 10 Anos,5 à 10 Anos,Ensino Médio Completo,Abrigado,Faz Uso de Substância Psicoativa,Álcool,Não,Não,Bolsa Família,
,Abrigos,Masculino,Branca,25 à 39 anos,Outro País,Campinas,5 à 10 Anos,1 à 3 Meses,Ensino Superior Incompleto,Abrigado,Faz Uso de Substância Psicoativa,"Álcool, Cocaína, Tabaco",Sim,Não,,
,Abrigos,Masculino,Parda,25 à 39 anos,Região Metropolitana de Campinas,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Médio Incompleto,Abrigado,Faz Uso de Substância Psicoativa,Maconha,Sim,"Sim, Não",Bolsa Família,
,Abrigos,Masculino,Preta,50 à 59 anos,Estado de São Paulo,Campinas,Mais de 10 Anos,1 à 3 Meses,Ensino Médio Incompleto,Abrigado,NDA,,Sim,Sim,Bolsa Família,
,Abrigos,Masculino,Branca,25 à 39 anos,Outro Estado,Campinas,2 à 5 Anos,2 à 5 Anos,Ensino Médio Incompleto,Abrigado,Faz Uso de Substância Psicoativa,Cocaína,Sim,Sim,Bolsa Família,
,Abrigos,Masculino,Branca,25 à 39 anos,Estado de São Paulo,Campinas,2 à 5 Anos,1 à 3 Meses,Ensino Médio Completo,Abrigado,Faz Uso de Substância Psicoativa,Cocaína,Não,Sim,Bolsa Família,
,Abrigos,Masculino,Branca,40 à 49 anos,Outro Estado,Campinas,1 à 2 Anos,1 à 3 Meses,Ensino Fundamental Incompleto,Abrigado,Faz Uso de Substância Psicoativa,Tabaco,Sim,Não,,
,Abrigos,Masculino,Branca,40 à 49 anos,Outro Estado,Campinas,Mais de 10 Anos,2 à 5 Anos,Ensino Fundamental Incompleto,Abrigado,Faz Uso de Substância Psicoativa,Tabaco,Sim,Sim,Bolsa Família,
,Abrigos,Masculino,Preta,50 à 59 anos,Outro Estado,Campinas,Mais de 10 Anos,1 à 2 Anos,Ensino Médio Completo,Abrigado,NDA,Tabaco,Sim,Sim,Bolsa Família,
,Abrigos,Masculino,Branca,50 à 59 anos,Outro Estado,Campinas,Mais de 10 Anos,1 à 3 Meses,Ensino Médio Completo,Abrigado,NDA,,Sim,Não,BPC,
Leste,Abrigos,Masculino,Parda,40 à 49 anos,Outro Estado,Campinas,2 à 5 Anos,1 dia à 1 Mês,Ensino Fundamental Incompleto,Abrigado,,,Sim,Sim,Bolsa Família,Auxílio-Doença
Sul,Abrigos,Feminino,Preta,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,1 à 3 Meses,Ensino Médio Completo,Abrigado,Faz Uso de Substância Psicoativa,"Álcool, Cocaína",Sim,Sim,Bolsa Família,
Sul,Abrigos,Feminino,Preta,40 à 49 anos,Campinas,Campinas,Mais de 10 Anos,5 à 10 Anos,Ensino Fundamental Incompleto,Abrigado,Faz Uso de Substância Psicoativa,"Crack, Álcool, Tabaco",Sim,Sim,Bolsa Família,
Sul,Abrigos,Feminino,Preta,25 à 39 anos,Campinas,Campinas,Mais de 10 Anos,Mais de 10 Anos,Ensino Fundamental Incompleto,Abrigado,Faz Uso de Substância Psicoativa,"Crack, Maconha, Cocaína, Tabaco, Refere estar abstinente há quatro anos.",Sim,Sim,Bolsa Família,
Leste,Abrigos,Masculino,Parda,40 à 49 anos,Outro Estado,Campinas,Mais de 10 Anos,1 à 2 Anos,Não Alfabetizado,Abrigado,NDA,,Sim,Sim,Bolsa Família,
Norte,Abrigos,Masculino,Parda,18 à 24 anos,Campinas,Campinas,Mais de 10 Anos,1 à 2 Anos,Ensino Médio Incompleto,Abrigado,NDA,,Sim,Sim,Bolsa Família,
Norte,Rua,Masculino,Parda,25 à 39 anos,São Paulo - Capital,Campinas,5 à 10 Anos,1 à 2 Anos,Ensino Médio Incompleto,Morador de Rua,NDA,Tabaco,Sim,Sim,Bolsa Família,
